ID,CREATION_DT,BU,S_START_DT,S_END_DT,DEPTO,PRODUCT,PROCESS,MACHINE,SAMPLE_TIME_SPAN,TOTAL_PRODUCTION_TIME,BUILD_QTY,AVG_CT,AVAIL,PERF,YIELD,OEE
25629,28-JUL-15,4,29-MAY-15,29-MAY-15,Engines,all,Functional test,Functional#1,510,391,42,9.31,.7668300653594771241830065359477124183078,.6443639463030044747496271041977413168491,.5714285714285714285714285714285714285714,.2823529411764705882352941176470588235295
25630,28-JUL-15,4,29-MAY-15,29-MAY-15,Engines,all,Functional test,Functional#6,510,159,17,9.38,.3125163398692810457516339869281045751627,.6399665376973753006378751437833315905066,.1764705882352941176470588235294117647059,.0352941176470588235294117647058823529412
25631,28-JUL-15,4,29-MAY-15,29-MAY-15,Engines,all,Functional test,Functional#4,510,300,47,6.38,.5875816993464052287581699346405228758196,.9410456062291434927697441601779755283614,.6170212765957446808510638297872340425532,.341176470588235294117647058823529411765
25632,28-JUL-15,4,29-MAY-15,29-MAY-15,Engines,all,Functional test,Functional#5,510,176,38,4.64,.3454575163398692810457516339869281045725,1.29410651783180399205373190805032636459,.4736842105263157894736842105263157894737,.2117647058823529411764705882352941176467
25633,28-JUL-15,4,29-MAY-15,29-MAY-15,Engines,all,Functional test,Functional#3,510,230,37,6.23,.4517973856209150326797385620915032679745,.9634719710669077757685352622061482820957,.9189189189189189189189189189189189189189,.3999999999999999999999999999999999999997
25634,28-JUL-15,4,29-MAY-15,29-MAY-15,Engines,all,Functional test,Functional#2,510,134,23,5.83,.2628758169934640522875816993464052287588,1.02933863749378418697165589259075087021,.6956521739130434782608695652173913043478,.1882352941176470588235294117647058823527
25635,28-JUL-15,4,29-MAY-15,29-MAY-15,Engines,all,Functional test,Functional#7,510,112,14,8.01,.2198366013071895424836601307189542483667,.7492195629552549427679500520291363163347,.5,.0823529411764705882352941176470588235294
25643,28-JUL-15,4,28-MAY-15,28-MAY-15,Engines,all,Functional test,Functional#1,480,389,46,8.45,.8095833333333333333333333333333333333333,.7102418939783839423571796191456510550698,.7173913043478260869565217391304347826087,.4125000000000000000000000000000000000001
25644,28-JUL-15,4,28-MAY-15,28-MAY-15,Engines,all,Functional test,Functional#6,480,253,31,8.16,.5268055555555555555555555555555555555583,.735565515423147904033746374901133667278,.3548387096774193548387096774193548387097,.1375
25645,28-JUL-15,4,28-MAY-15,28-MAY-15,Engines,all,Functional test,Functional#4,480,322,59,5.46,.6712500000000000000000000000000000000042,1.09869646182495344506517690875232774673,.8474576271186440677966101694915254237288,.6249999999999999999999999999999999999975
25646,28-JUL-15,4,28-MAY-15,28-MAY-15,Engines,all,Functional test,Functional#5,480,359,67,5.35,.7471180555555555555555555555555555555542,1.12097411349165775898127062322814518753,.8059701492537313432835820895522388059701,.6750000000000000000000000000000000000011
25647,28-JUL-15,4,28-MAY-15,28-MAY-15,Engines,all,Functional test,Functional#2,480,275,36,7.63,.5720833333333333333333333333333333333396,.7865986890021849963583394027676620538881,.8333333333333333333333333333333333333333,.3750000000000000000000000000000000000001
25648,28-JUL-15,4,28-MAY-15,28-MAY-15,Engines,all,Functional test,Functional#7,480,130,15,8.67,.2708333333333333333333333333333333333313,.6923076923076923076923076923076923076976,.6666666666666666666666666666666666666667,.125
25649,28-JUL-15,4,28-MAY-15,28-MAY-15,Engines,all,Functional test,Functional#3,480,296,62,4.78,.6171874999999999999999999999999999999938,1.25569620253164556962025316455696202533,.8225806451612903225806451612903225806452,.6375000000000000000000000000000000000005
25657,28-JUL-15,4,27-MAY-15,28-MAY-15,Engines,all,Functional test,Functional#1,450,310,43,7.2,.6881481481481481481481481481481481481467,.8331539289558665231431646932185145317563,.744186046511627906976744186046511627907,.4266666666666666666666666666666666666667
25658,28-JUL-15,4,27-MAY-15,28-MAY-15,Engines,all,Functional test,Functional#4,450,335,46,7.28,.7436666666666666666666666666666666666667,.8247422680412371134020618556701030927835,.7391304347826086956521739130434782608696,.4533333333333333333333333333333333333334
25659,28-JUL-15,4,27-MAY-15,28-MAY-15,Engines,all,Functional test,Functional#5,450,313,47,6.66,.6960740740740740740740740740740740740756,.9002873257422581675002660423539427476837,.914893617021276595744680851063829787234,.5733333333333333333333333333333333333334
25660,28-JUL-15,4,27-MAY-15,28-MAY-15,Engines,all,Functional test,Functional#3,450,293,52,5.63,.6511481481481481481481481481481481481511,1.06478584835902394630567089471588646834,.8076923076923076923076923076923076923077,.5599999999999999999999999999999999999991
25661,28-JUL-15,4,27-MAY-15,28-MAY-15,Engines,all,Functional test,Functional#2,450,240,32,7.5,.5334074074074074074074074074074074074089,.7998889043188446049159838911262324677103,.3125,.1333333333333333333333333333333333333333
25662,28-JUL-15,4,27-MAY-15,27-MAY-15,Engines,all,Functional test,Functional#1,480,298,39,7.64,.6207638888888888888888888888888888888896,.7853227430361337957265913413133460118571,.5641025641025641025641025641025641025641,.2749999999999999999999999999999999999999
25663,28-JUL-15,4,27-MAY-15,27-MAY-15,Engines,all,Functional test,Functional#6,480,197,25,7.9,.4113194444444444444444444444444444444479,.7597501266250211041701840283640047273277,.64,.2
25664,28-JUL-15,4,27-MAY-15,27-MAY-15,Engines,all,Functional test,Functional#4,480,310,66,4.69,.6454513888888888888888888888888888888938,1.27817526494163214804454247135402657485,.7272727272727272727272727272727272727273,.6000000000000000000000000000000000000017
25665,28-JUL-15,4,27-MAY-15,27-MAY-15,Engines,all,Functional test,Functional#5,480,297,55,5.4,.6186111111111111111111111111111111111146,1.11136057476425684777727885047148630444,.4909090909090909090909090909090909090909,.3375000000000000000000000000000000000002
25666,28-JUL-15,4,27-MAY-15,27-MAY-15,Engines,all,Functional test,Functional#3,480,318,57,5.58,.6626736111111111111111111111111111111125,1.07518993974325386429132826827351323028,.6315789473684210526315789473684210526316,.4499999999999999999999999999999999999986
25667,28-JUL-15,4,27-MAY-15,27-MAY-15,Engines,all,Functional test,Functional#2,480,234,38,6.16,.487534722222222222222222222222222222225,.9742895805142083897158322056833558863271,.7894736842105263157894736842105263157895,.3749999999999999999999999999999999999999
25717,28-JUL-15,4,24-MAY-15,25-MAY-15,Engines,all,Functional test,Functional#5,450,182,33,5.51,.4039629629629629629629629629629629629622,1.08920876501329421472448886036490327313,.4848484848484848484848484848484848484848,.2133333333333333333333333333333333333334
